Title,Other titles,BL record ID,Type of resource,Content type,Material type,BNB number,ISBN,Name,Dates associated with name,Type of name,Role,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes
Ruée sur l'Oklahoma. English,The Oklahoma land rush,15362265,Monograph,Language material ; Text,Volume,GBA987316,9781849180085,Morris,1923-2001,person,,"Morris, 1923-2001 [person] ; Goscinny, 1926-1977 [person]",A Lucky Luke adventure,20 [A Lucky Luke adventure],England,Canterbury,Cinebook,2009,,"46 pages, chiefly colour illustrations, 29 cm",741.59493,YK.2010.b.10377,"Lucky Luke, (Fictitious character)--Comic books, strips, etc--Juvenile fiction ; Cowboys--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel ; Western,English,Translated from the French
Ryder on the storm. Book 1,,15516666,Monograph,Language material ; Text,Volume,GBB043474,9781935417187,"Hine, David",,person,,"Hine, David [person]",,,England ; United States of America,"London ; Los Angeles, California",Radical ; Turnaround,2010,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Demonology--Comic books, strips, etc--Fiction ; Private investigators--Comic books, strips, etc--Fiction ; Suicide--Comic books, strips, etc--Fiction ; Supernatural--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Horror,English,
Ryder on the storm. Vol. 1,,15723736,Monograph,Language material ; Text,Volume,GBB103503,9781935417446,"Hine, David",,person,,"Hine, David [person]",,,England ; United States of America,"London ; Los Angeles, California",Radical ; Turnaround,2011,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Demonology--Comic books, strips, etc--Fiction ; Private investigators--Comic books, strips, etc--Fiction ; Suicide--Comic books, strips, etc--Fiction ; Supernatural--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Horror,English,
Ryuko,,19363815,Monograph,Language material ; Still image ; Text,Volume,GBB969095,9781787730946,"Yoshimizu, Eldo",,person,artist ; author,"Yoshimizu, Eldo, artist ; author [person]",,,England,London,Titan Comics,2019,,"1 volume, chiefly illustrations",741.5,,"Organized crime--Japan--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Suspense,English,Translated from the Japanese
Rébétiko. English,Rebetiko,15996378,Monograph,Language material ; Text,Volume,GBB1E5229,9781906838515,"Prudhomme, David",1969-,person,,"Prudhomme, David, 1969- [person]",,,England,London,SelfMadeHero,2012,,"111 pages, chiefly colour illustrations, 25 cm",741.5944,YK.2012.b.12280,"Athens (Greece)--Comic books, strips, etc--Fiction ; Rebetika--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel,English,Translated from the French
Réveil du Z. English,The Z rises again,19244725,Monograph,Language material ; Still image ; Text,Volume,GBB925319,9781849184410,Tome,1957-,person,artist ; author,"Tome, 1957-, artist ; author [person] ; Saincantin, Jerome, translator [person] ; Janry, 1957-, artist ; author [person]",Spirou & Fantasio,16 [Spirou & Fantasio],England,"Canterbury, Kent",Cinebook,2019,,"46 pages, chiefly colour illustrations, 29 cm",741.5,YKL.2020.b.4408,"Fantasio, (Fictitious character)--Comic books, strips, etc--Juvenile fiction ; Spirou, (Fictitious character)--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel,English,Translated from the French
Rêveries d'un hamster solitaire. French,Reflections of a solitary hamster,15357843,Monograph,Language material ; Text,Volume,GBA985076,9781877467455,"Desbordes, Astrid",,person,,"Martin, Pauline [person] ; Desbordes, Astrid [person]",,,New Zealand,Wellington,Gecko,2009,,"55 pages, chiefly colour illustrations, 32 cm",741.5,YK.2010.b.13465,"Comic books, strips, etc ; Hamsters--Comic books, strips, etc--Juvenile fiction ; Children's stories, French--Translations into English ; Desbordes, Astrid--Translations into English ; Characters and characteristics--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel ; Translations into English,English,
Rāmacaritamānasa,Sundarakāṇḍa ; Sundarkaand : triumph of Hanuman : a graphic novel adaptation ; Tulsidas,19621437,Monograph,Language material ; Still image ; Text,Volume,,9789380741703,"Prakash, Shyam",1963-,person,author,"Prakash, Shyam, 1963-, author [person] ; Tulasīdāsa, 1532-1623 [person] ; Nagar, Sachin, artist [person]",Campfire. Mythology,,India,New Delhi,Campfire,2012,,"64 pages, chiefly colour illustrations, 26 cm",741.5954,YP.2020.b.17,"Hindu mythology--Comic books, strips, etc ; Hanumān, (Hindu deity) ; Hanumān, (Hindu deity)--Comic books, strips, etc ; Sita, (Hindu deity)--Comic books, strips, etc",Comic or graphic novel ; Novel,English,Accompanying material may include detachable poster
S**t happens,"Filth (New York, N.Y.) ; Inside the hand ; Man made god ; Perfect victim ; Pornomancer ; Structures and ultrastructures ; The Filth ; Us vs. them ; World of Anders Klimakks ; Zero democracy ; [heart] *%",18214579,Monograph,Language material ; Still image ; Text,Volume,GBB717649,9781401270445,"Morrison, Grant",,person,author,"Robins, Clem, 1955- [person] ; Hi-Fi Colour Design [organisation] ; Morrison, Grant, author [person] ; Hollingsworth, Matt [person] ; Morrison, Grant [person] ; Erskine, Gary [person] ; Weston, Chris, 1969- [person]",,,United States of America,New York,DC Comics,2017,,"1 volume (unpaged), illustrations (chiefly colour), 26 cm",741.5973,YKL.2018.b.2476,,Comic or graphic novel,English,'New and improved deluxe formula!'--Cover ; 'Originally published in single magazine form in The Filth 1-13.' ; chiefly illustrations
S.E. Hinton's Taming of the star runner,,15545981,Monograph,Language material ; Text,Volume,GBB058563,9781616239473,"Hinton, S. E.",,person,,"Smith, Don [person] ; Hinton, S. E. [person] ; Rafid, Guilherme [person]",,,England ; United States of America,"Bellingham, Washington ; London",Bluewater ; Diamond,2010,,"1 volume, chiefly illustrations (chiefly colour)",741.5,,"Horses--Comic books, strips, etc--Fiction ; Ranch life--Oklahoma--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel ; Young adult fiction,English,
S.H.I.E.L.D : the complete collection omnibus,Works. Selections,17485298,Monograph,Language material ; Still image ; Text,Volume,GBB5A8554,9780785198529,"Lee, Stan",1922-2018,person,author,"Kirby, Jack, artist [person] ; Lee, Stan, 1922-2018, author [person] ; Friedrich, Gary, 1943-, author [person]",,,United States of America,New York,Marvel Worldwide,2015,,"1 volume, chiefly colour illustrations, 28 cm",741.5973,,"Science fiction comic books, strips, etc ; Fury, Nick (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction,English,
S.H.I.E.L.D. by Jim Steranko : the complete collection,,16453624,Monograph,Language material ; Still image ; Text,Volume,GBB361792,9780785185369,Steranko,1938-,person,artist,"Thomas, Roy, 1940-, author [person] ; Lee, Stan, 1922-2018, author [person] ; Steranko, 1938-, artist [person]",,,United States of America,New York,Marvel,2013,,"1 volume, chiefly illustrations, 26 cm",741.5973,,"Fury, Nick (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
S.H.I.E.L.D.'s most wanted,Black Widow. Vol. 1. S.H.I.E.L.D.'s most wanted ; SHIELD's most wanted,17913217,Monograph,Language material ; Still image ; Text,Volume,GBB692278,9781846537431,"Waid, Mark",1962-,person,author,"Samnee, Chris, artist ; author [person] ; Caramagna, Joe [person] ; Wilson, Matthew, 1981- [person] ; Waid, Mark, 1962-, author [person]",,,England,"Tunbridge Wells, Kent",Panini Publishing,2016,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YKL.2018.b.1589,"Women spies--Comic books, strips, etc",Comic or graphic novel ; Science fiction,English,"'Collecting Black Widow volume 7 #1-6'--Back cover ; 'Writerx' in statement of responsibility should actually be spelt 'writers' ; Compilation originally published: New York : Marvel, 2016"
S.M.A.S.H. time,,16536984,Monograph,Language material ; Still image ; Text,Volume,GBB3A1293,9781846535741,"Waid, Mark",1962-,person,author,"Waid, Mark, 1962-, author [person]",Indestructible Hulk,3 [Indestructible Hulk],United States of America,"Tunbridge Wells, Kent",Panini,2014,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YKL.2016.b.5217,"Hulk, (Fictitious character)--Comic book, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
S.M.A.S.H. time,,16794263,Monograph,Language material ; Still image ; Text,Volume,GBB474137,9780785188858,"Waid, Mark",1962-,person,author,"Scalera, Matteo, artist [person] ; Jacinto, Kim, artist [person] ; Waid, Mark, 1962-, author [person]",Indestructible Hulk ; Marvel now!,3 [Indestructible Hulk],United States of America,New York,Marvel,2014,,"1 volume, chiefly illustrations (black and white and colour)",741.5,,"Hulk, (Fictitious character)--Comic book, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
S.O.S. meteors : Mortimer in Paris,S.O.S. météores. English,15297648,Monograph,Language material ; Text,Volume,GBA962722,9781905460977,"Jacobs, Edgar-P. (Edgar-Pierre)",1904-1987,person,,"Jacobs, Edgar-P. (Edgar-Pierre), 1904-1987 [person]",Blake and Mortimer series ; Cinebook,number 6 [Cinebook] ; volume 8 [Blake and Mortimer series],England,Canterbury,Cinebook,2009,,"64 pages, chiefly colour illustrations, 29 cm",741.59493,YK.2010.b.3601,"Nuclear physicists--Comic books, strips, etc--Juvenile fiction ; Spies--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel ; Detective and mystery,English,Translated from the French
S.O.S. météores. English,S.O.S. meteors : Mortimer in Paris,15297648,Monograph,Language material ; Text,Volume,GBA962722,9781905460977,"Jacobs, Edgar-P. (Edgar-Pierre)",1904-1987,person,,"Jacobs, Edgar-P. (Edgar-Pierre), 1904-1987 [person]",Blake and Mortimer series ; Cinebook,number 6 [Cinebook] ; volume 8 [Blake and Mortimer series],England,Canterbury,Cinebook,2009,,"64 pages, chiefly colour illustrations, 29 cm",741.59493,YK.2010.b.3601,"Nuclear physicists--Comic books, strips, etc--Juvenile fiction ; Spies--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel ; Detective and mystery,English,Translated from the French
S.S. Astro. 1 : Asashio Sogo teachers' room,,14614791,Monograph,Language material ; Text,Volume,GBA866471,9780759528987,"Banno, Negi",,person,,"Banno, Negi [person]",,,United States of America,New York,,2008,,"117 pages, chiefly illustrations, 21 cm",741.5952,YK.2011.a.30825,"Women teachers--Comic books, strips, etc--Fiction ; High school teachers--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel,English,Translated from the Japanese ; book reads from right to left in the traditional Japanese format
S.W.A.L.K,,13046687,Monograph,Language material ; Text,Volume,GBA484633,9781841612256,"Davis, Jim",1945 July 28-,person,,"Davis, Jim, 1945 July 28- [person]",Garfield,number 49 [Garfield],England,Partridge Green,Ravette,2005,,"1 volume, illustrations, 18 cm",741.5973,YK.2005.a.3403,"Garfield (Fictitious character)--Comic books, strips, etc",Comic or graphic novel,English,
S.W.A.L.K,Feed me! ; Garfield classics. Volume 17 ; Garfield. Selections ; Gotcha!,13505095,Monograph,Language material ; Text,Volume,GBA659488,9781841612508,"Davis, Jim",1945 July 28-,person,,"Davis, Jim, 1945 July 28- [person]",,,England,Partridge Green,Ravette,2006,,"1 volume (unpaged), chiefly illustrations, 18 cm",741.5973,YK.2007.a.20027,"Garfield (Fictitious character)--Comic books, strips, etc",Comic or graphic novel,English,
SF20 : the art of Street Fighter,,15475918,Monograph,Language material ; Text,Volume,GBB0D2660,9781897376584,,,,,"Capcom Co [organisation] ; Moylan, Matt [person] ; Hayashi, M. Kirie [person]",,,Canada,"Richmond Hill, Ontario",Udon Entertainment Corp,2009,,"319 pages, chiefly illustrations (chiefly colour), 30 cm",741.5952,YK.2010.b.11881,"Video games in art ; Street Fighter (Game) ; Martial arts--Comic books, strips, etc--Pictorial works ; Video game characters--Design",Comic or graphic novel ; Pictorial work,English,'Street fighter 20th anniversary.' ; Translated from the Japanese
SGU Stargate universe. Volume one,SGU. Volume one ; Stargate universe. Volume one,18864025,Monograph,Language material ; Still image ; Text,Volume,GBB886528,9781945205125,"Haynes, Mark L.",,person,author,"Vaughn, J. C., author [person] ; Haynes, Mark L., author [person] ; Caracuzzo, Giancarlo, artist [person]","SGU, Stargate Universe",,United States of America,"Bel Air, Maryland",American Mythology Productions,2018,,"1 volume (unpaged), colour illustrations, 26 cm",741.5973,YKL.2019.b.6010,,Comic or graphic novel ; Novel,English,"'Stargate Universe volume 1 collects the complete, six-issue story arc of American Mythology's first SGU comics series!"
SGU. Volume one,SGU Stargate universe. Volume one ; Stargate universe. Volume one,18864025,Monograph,Language material ; Still image ; Text,Volume,GBB886528,9781945205125,"Haynes, Mark L.",,person,author,"Vaughn, J. C., author [person] ; Haynes, Mark L., author [person] ; Caracuzzo, Giancarlo, artist [person]","SGU, Stargate Universe",,United States of America,"Bel Air, Maryland",American Mythology Productions,2018,,"1 volume (unpaged), colour illustrations, 26 cm",741.5973,YKL.2019.b.6010,,Comic or graphic novel ; Novel,English,"'Stargate Universe volume 1 collects the complete, six-issue story arc of American Mythology's first SGU comics series!"
SHIELD's most wanted,Black Widow. Vol. 1. S.H.I.E.L.D.'s most wanted ; S.H.I.E.L.D.'s most wanted,17913217,Monograph,Language material ; Still image ; Text,Volume,GBB692278,9781846537431,"Waid, Mark",1962-,person,author,"Samnee, Chris, artist ; author [person] ; Caramagna, Joe [person] ; Wilson, Matthew, 1981- [person] ; Waid, Mark, 1962-, author [person]",,,England,"Tunbridge Wells, Kent",Panini Publishing,2016,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YKL.2018.b.1589,"Women spies--Comic books, strips, etc",Comic or graphic novel ; Science fiction,English,"'Collecting Black Widow volume 7 #1-6'--Back cover ; 'Writerx' in statement of responsibility should actually be spelt 'writers' ; Compilation originally published: New York : Marvel, 2016"
SNK vs. Capcom,,13512439,Monograph,Language material ; Text,Volume,GBA662997,9781597960656,"Chi, Wan Shum",,person,,"Chi, Wan Shum [person]",SVC chaos,volume 5 [SVC chaos],England ; United States of America,"Fremont, California ; London",Diamond ; DrMaster,2006,,"128 pages, chiefly colour illustrations, 18 cm",741.5,,"Martial arts--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction ; Young adult fiction,English,
SNK vs. Capcom,,13784232,Monograph,Language material ; Text,Volume,GBA751640,9781597960663,"Chi, Wan Shum",,person,,"Chi, Wan Shum [person]",SVC chaos,volume 6 [SVC chaos],England ; United States of America,"Fremont, California ; London",Diamond ; DrMaster,2007,,"1 volume, chiefly colour illustrations, 18 cm",741.5,,"Martial arts--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction ; Young adult fiction,English,
SNK vs. Capcom,,14276509,Monograph,Language material ; Text,Volume,GBA791002,9781597960670,"Chi, Wan Shum",,person,,"Chi, Wan Shum [person]",SVC chaos,volume 7 [SVC chaos],England ; United States of America,"Fremont, California ; London",Turnaround,2008,,"1 volume, chiefly colour illustrations, 18 cm",741.5,,"Martial arts--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction ; Young adult fiction,English,
SNK vs. Capcom,,14276510,Monograph,Language material ; Text,Volume,GBA791003,9781597960687,"Chi, Wan Shum",,person,,"Chi, Wan Shum [person]",SVC chaos,volume 8 [SVC chaos],England ; United States of America,"Fremont, California ; London",Turnaround,2008,,"1 volume, chiefly colour illustrations, 18 cm",741.5,,"Martial arts--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction ; Young adult fiction,English,
SP4RX,Sparks ; Sparx,17964681,Monograph,Language material ; Still image ; Text,Volume,GBB889388,9781910620120,"McDonald, Wren",,person,artist ; author,"McDonald, Wren, artist ; author [person]",,,England,London,Nobrow,2016,,"116 pages, colour illustrations, 25 cm",741.5973,YKL.2018.a.8612,"Technology--Comic books, strips, etc ; Hackers--Comic books, strips, etc",Comic or graphic novel,English,
SPADS,,15595506,Monograph,Language material ; Text,Volume,GBB081863,9781849180580,"Hamme, Jean van",1939-,person,,"Hamme, Jean van, 1939- [person] ; Vance, William, 1935- [person]",XIII,4 [XIII],England,Canterbury,Cinebook,2010,,"48 pages, chiefly colour illustrations, 26 cm",741.59493,YK.2011.b.10401,"Amnesiacs--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel ; Suspense fiction,English,"'Original edition: Dargaud Benelux (Dargaud-Lombard SA), 1987'--T.p. verso ; Translated from the French"
SVC chaos,,12881343,Monograph,Language material ; Text,Volume,GBA4W9664,9781588994073,"Shum, Chi Wen",,person,,"Shum, Chi Wen [person]",,,England ; United States of America,"Fremont, California ; London",Comics One ; Turnaround,2004,,"128 pages, colour illustrations, 26 cm",741.5,,"Martial arts--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
SVC chaos,,12881344,Monograph,Language material ; Text,Volume,GBA4W9663,9781588994080,"Shum, Chi Wen",,person,,"Shum, Chi Wen [person]",,,England ; United States of America,"Fremont, California ; London",Comics One ; Turnaround,2004,,"128 pages, colour illustrations, 26 cm",741.5,,"Martial arts--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
SVC chaos,,13332750,Monograph,Language material ; Text,Volume,GBA595258,9781597960649,"Chi, Wen Shum",,person,,"Chi, Wen Shum [person]",,,England ; United States of America,"Fremont, California ; London",Diamond ; DrMaster,2006,,"128 pages, chiefly colour illustrations, 18 cm",741.5,,"Martial arts--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
SVC chaos,,14657170,Monograph,Language material ; Text,Volume,GBA883480,9781597961691,"Shum, Chi Wen",,person,,"Shum, Chi Wen [person]",,,England ; United States of America,"Fremont, California ; London",Diamond ; DrMaster,2008,,"8 volumes, chiefly colour illustrations, 26 cm",741.5,,"Martial arts--Comic books, strips, etc--Fiction ; Fantasy comic books, strips, etc ; Young adult fiction ; Shum, Chi Wen--Translations into English",Comic or graphic novel ; Fiction ; Translations into English,English,
SVC chaos. Vol. 3,,13256182,Monograph,Language material ; Text,Volume,GBA561102,9781597960632,"Wing, Yan",,person,,"King, Tung [person] ; Wing, Yan [person]",,,England ; United States of America,"Fremont, California ; London",Diamond ; DrMaster,2005,,"128 pages, colour illustrations, 26 cm",741.5,,"Martial arts--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction ; Young adult fiction,English,
Saban's go go Power Rangers. Vol. 4,,19504015,Monograph,Language material ; Still image ; Text,Volume,GBB9D9658,9781684153688,"Parrott, Ryan",,person,author,"Angulo, Raul [person] ; Parrott, Ryan, author [person] ; Carlini, Eleonora, artist [person]",Mighty morphin power rangers,4 [Mighty morphin power rangers],United States of America,Los Angeles,BOOM! Studios,2019,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Power Rangers (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
Saban's go go Power Rangers. Vol. 6,Go go Power Rangers,19665593,Monograph,Language material ; Still image ; Text,Volume,GBC002516,9781684154852,"Parrott, Ryan",,person,author,"Mortarino, Francesco, artist [person] ; Carlini, Eleonora, artist [person] ; Parrott, Ryan, author [person] ; Towe, Jim, artist [person] ; Bennett, Marguerite, author [person]",Mighty Morphin Power Rangers,,United States of America,Los Angeles,BOOM! Studios,2020,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Power Rangers (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
Saban's go go Power Rangers. Vol. 7,Go go Power Rangers,19766413,Monograph,Language material ; Still image ; Text,Volume,GBC051891,9781684155439,"Parrott, Ryan",,person,author,"Grace, Sina, author [person] ; Mortarino, Francesco, artist [person] ; Parrott, Ryan, author [person]",,,United States of America,Los Angeles,BOOM! Studios,2020,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Power Rangers (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
Saban's go go Power Rangers. Volume 8,Go go Power Rangers,19998592,Monograph,Language material ; Still image ; Text,Volume,GBC0H1271,9781684156078,"Parrott, Ryan",,person,author,"Grace, Sina, author [person] ; Mortarino, Francesco, artist [person] ; Parrott, Ryan, author [person] ; Francisco, Edu, artist [person]",,,United States of America,Los Angeles,BOOM! Studios,2021,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Power Rangers (Fictitious characters)--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel ; Science fiction,English,
Sable & Fortune,,13437441,Monograph,Language material ; Text,Volume,GBA636556,9780785118336,"Cahill, Brendan",,person,,"Cahill, Brendan [person] ; Burns, John, 1938- [person]",,,England ; United States of America,London ; New York,Diamond ; Marvel,2006,,"96 pages, chiefly colour illustrations, 26 cm",741.5973,,"Mercenary troops--Comic books, strips, etc--Fiction ; Graphic novels ; Private investigators--Comic books, strips, etc--Fiction ; Young adult fiction, American",Comic or graphic novel ; Fiction,English,
Sabretooth : round two,,18731182,Monograph,Language material ; Still image ; Text,Volume,GBB828229,9781302907778,"Brisson, Ed",,person,,"Brisson, Ed [person] ; Perkins, Mike, artist [person]",Iron Fist,2 [Iron Fist],United States of America,New York,Marvel Worldwide,2018,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Iron Fist, (Fictitious character)--Comic books, strips, etc--Fiction ; Sabretooth, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
Sabretooth reborn,,16199218,Monograph,Language material ; Text,Volume,GBB2A9229,9780785163251,"Loeb, Jeph",,person,,"Bianchi, Simone [person] ; Loeb, Jeph [person]",Wolverine,,England ; United States of America,London ; New York,Marvel ; Turnaround,2013,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Wolverine (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
Sabretooth reborn,,16494658,Monograph,Language material ; Still image ; Text,Volume,GBB382350,9780785163268,"Loeb, Jeph",,person,author,"Bianchi, Simone, artist [person] ; Loeb, Jeph, author [person]",Wolverine,,United States of America,New York,Marvel,2013,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Wolverine (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
Sabretooth,,16284366,Monograph,Language material ; Still image ; Text,Volume,GBB317483,9780785183853,"Loeb, Jeph",,person,author,"Bianchi, Simone, artist [person] ; Loeb, Jeph, author [person]",Wolverine,,United States of America,New York,Marvel,2013,,"1 volume, chiefly colour illustrations, 28 cm",741.5973,,"Science fiction comic books, strips, etc ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction,English,
Sabrina animated,,15817502,Monograph,Language material ; Text,Volume,GBB165825,9781879794801,"Gallagher, Mike",,person,,"Manak, David [person] ; Gallagher, Mike [person]",,,England ; United States of America,"London ; Mamaroneck, New York",Archie ; Turnaround,2011,,"1 volume, chiefly colour illustrations, 23 cm",741.5,,"Witches--Comic books, strips, etc--Juvenile fiction ; Spellman, Sabrina, (Fictitious character)--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel,English,
Sabrina online : baby steps,,19198662,Monograph,Language material ; Still image ; Text,Volume,GBC041529,9780953784776,"Schwartz, Eric W.",,person,artist ; author,"Schwartz, Eric W., artist ; author [person]",,,England,Keston,United Publications,2018,,"1 volume (unpaged), illustrations (black and white and colour), 28 cm",741.5973,YKL.2020.b.1636,"Skunks--Comic books, strips, etc",Comic or graphic novel ; Novel,English,
Sabrina online : the tail of two decades,,18427038,Monograph,Language material ; Still image ; Text,Volume,GBB8J2688,9780953784769,"Schwartz, Eric W.",,person,artist ; author,"Schwartz, Eric W., artist ; author [person]",,,United States of America,,United Publications,2017,First edition,"approximately 150 pages, black and white illustrations, 29 cm",741.5973,YKL.2018.b.5733,"Skunks--Comic books, strips, etc",Comic or graphic novel,English,'The second collected web-comic works of Eric W. Schwartz'--cover
Sacred invasion,Love and war ; The incredible Hercules. Sacred invasion,15555774,Monograph,Language material ; Text,Volume,GBB111699,9780785142560,"Pak, Greg",,person,,"Sandoval, Rafa [person] ; Pak, Greg [person] ; Van Lente, Fred [person]",,,United States of America,New York,Marvel Publishing,2010,,"1 volume (unpaged), chiefly colour illustrations, 27 cm",741.5973,YK.2011.b.1562,"Fantasy comic books, strips, etc ; Hercules (Roman mythology)--Comic books, strips, etc--Fiction ; Graphic novels ; Superhero comic books, strips, etc",Comic or graphic novel ; Fiction,English,'Contains material originally published in magazine form as Incredible Hulk #116-125'--T.p. verso
Sacrifice,,13366268,Monograph,Language material ; Text,Volume,GBA608831,9781401209193 ; 9781845762438,"Rucka, Greg",,person,,"Benes, Ed [person] ; Marston, William Moulton, 1893-1947 [person] ; Shuster, Joe, 1914-1992 [person] ; Verheiden, Mark [person] ; Rucka, Greg [person] ; Simone, Gail [person] ; Siegel, Jerry, 1914-1996 [person]",Countdown to infinite crisis ; Superman,,England,London,Titan,2006,,"approximately 168 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2008.b.435,"Science fiction comic books, strips, etc ; Wonder Woman, (Fictitious character)--Comic books, strips, etc--Fiction ; Superman, (Fictitious character)--Comic books, strips, etc--Fiction ; Batman, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction,English,
Sacrifice,,19454014,Monograph,Language material ; Still image ; Text,Volume,GBB9B6916,9781534313286,"Shanower, Eric",,person,artist ; author,"Shanower, Eric, artist ; author [person]",Age of bronze,2 [Age of bronze],United States of America,Berkeley,Image Comics,2020,,"223 pages, chiefly illustrations, 27 cm",741.5,,"Trojan War--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Historical fiction ; Novel,English,
Sacrifice,Superman : sacrifice,17765193,Monograph,Language material ; Still image ; Text,Volume,GBB633522,9781401264406,,,,,"WildStorm Fx (Firm), illustrator [organisation] ; Lea, Rob, illustrator [person] ; Byrne, John, 1950-, illustrator [person] ; Randall, Ron, illustrator [person] ; Bit, illustrator [person] ; Morales, Rags, illustrator [person] ; Benes, Ed, illustrator [person] ; Horie, Tanya, illustrator [person] ; Fletcher, Jared K., illustrator [person] ; Leigh, Rob, illustrator [person] ; Klein, Todd, illustrator [person] ; Kerschl, Karl, illustrator [person] ; Horie, Richard, illustrator [person] ; Rucka, Greg, author [person] ; Verheiden, Mark, author [person] ; DeCastro, Nelson, 1969-, illustrator [person] ; Simone, Gail, author [person] ; Major, Guy, illustrator [person] ; Propst, Mark, illustrator [person] ; Napolitano, Nick, illustrator [person] ; Lopez, David, 1981-, illustrator [person] ; Reis, Rod, illustrator [person] ; Lei, Alex, illustrator [person] ; Benes, Mariah, illustrator [person]",,,United States of America,"Burbank, California",DC Comics,2016,,"1 volume (unpaged), illustrations, 26 cm",741.5973,YKL.2017.b.3377,"Wonder Woman, (Fictitious character)--Comic books, strips, etc--Fiction ; Superman, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel,English,"'Originally published in single magazine form in SUPERMAN 218, 219, 220, ADVENTURES OF SUPERMAN 442, 443, ACTION COMICS 829, WONDER WOMAN 219, 22.'"
Sacrifice. English,The sacrifice,19282855,Monograph,Language material ; Still image ; Text,Volume,GBB943356,9781849184267,"Hamme, Jean van",1939-,person,author,"Saincantin, Jerome, translator [person] ; Hamme, Jean van, 1939-, author [person] ; Rosiński, Grzegorz, artist [person]",Thorgal,21 [Thorgal],England,"Canterbury, Kent",Cinebook,2019,,"48 pages, chiefly colour illustrations, 26 cm",741.5,YKL.2020.b.921,"Vikings--Comic books, strips, etc--Fiction ; Thorgal, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction ; Young adult fiction,English,Translated from the French
