Title,Other titles,BL record ID,Type of resource,Content type,Material type,BNB number,ISBN,Name,Dates associated with name,Type of name,Role,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes
Betty's burgled bakery : an alliteration adventure,,18495058,Monograph,Language material ; Still image ; Text,Volume,GBB7F8717,9781452131832,"Nichols, Travis",,person,author ; illustrator,"Nichols, Travis, author ; illustrator [person]",,,United States of America,"San Francisco, California",Chronicle,2017,,"1 volume (unpaged), colour illustrations, 24 cm",741.5973,YKL.2018.a.19885,"Animals--Fiction ; Animals--Juvenile fiction ; Stealing--Fiction ; Theft--Comic books, strips, etc ; Alliteration--Juvenile fiction ; Animals--Comic books, strips, etc ; Bakeries--Juvenile fiction ; Bakers and bakeries--Fiction ; Bakeries--Comic books, strips, etc ; Theft--Juvenile fiction ; Alliteration--Fiction ; Mystery and detective stories ; Graphic novels",Children's fiction ; Comic or graphic novel ; Fiction ; Novel,English,
Between 2 worlds,Between two worlds,18674104,Monograph,Language material ; Still image ; Text,Volume,GBB810359,9781524105785,"Higgins, Kyle",1985-,person,author,"Fornés, Jorge, artist [person] ; Higgins, Kyle, 1985-, author [person] ; O'Halloran, Chris, colorist [person] ; Esposito, Taylor [person]",Magnus ; The sovereigns,,United States of America,"Mount Laurel, New Jersey",Dynamite,2018,,"1 volume (unpaged), illustrations (black and white and colour), 27 cm",741.5973,YKL.2019.b.4552,,Comic or graphic novel ; Science fiction,English,"'Contains materials originally published in magazine form as Magnus, volume 1: Between two worlds #1-5'--Colophon"
Between dark & dawn,,13386996,Monograph,Language material ; Text,Volume,GBA617451,9781401209407 ; 9781845762407,"Simone, Gail",,person,,"Simone, Gail [person] ; Benes, Ed [person]",Birds of prey,,England ; United States of America,London ; New York,DC Comics ; Titan,2006,,"c 170 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2011.b.6505,"Cults--Oregon--Comic books, strips, etc--Fiction ; Suicide victims--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel ; Science fiction,English,'Originally published in single magazine form in Birds of prey #69-75.'--T.p. verso
Between gears,Between gears. Vol. 1,16020331,Monograph,Language material ; Text,Volume,GBB209986,9781607065043,"Nourigat, Natalie",,person,,"Nourigat, Natalie [person]",,,United States of America,"Berkeley, California",Image Comics,2012,,"304 pages, chiefly illustrations, 26 cm",741.5973,YK.2012.b.5611,"College students--United States--Comic books, strips, etc ; Nourigat, Natalie--Comic books, strips, etc ; Cartoonists--United States--Comic books, strips, etc",Comic or graphic novel,English,
Between gears. Vol. 1,Between gears,16020331,Monograph,Language material ; Text,Volume,GBB209986,9781607065043,"Nourigat, Natalie",,person,,"Nourigat, Natalie [person]",,,United States of America,"Berkeley, California",Image Comics,2012,,"304 pages, chiefly illustrations, 26 cm",741.5973,YK.2012.b.5611,"College students--United States--Comic books, strips, etc ; Nourigat, Natalie--Comic books, strips, etc ; Cartoonists--United States--Comic books, strips, etc",Comic or graphic novel,English,
Between here and there,Easy kill ; The way home ; Unknown soldier. Easy kill,15484341,Monograph,Language material ; Text,Volume,GBB022655,9781401226008 ; 9781848565784,"Dysart, Josh",,person,,"Ponticelli, Alberto [person] ; Masioni, Pat [person] ; Dysart, Josh [person]",,,England ; United States of America,London ; New York,DC Comics ; Titan,2010,,"191 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2010.b.8791,"Uganda--History--1979---Comic books, strips, etc ; War--Comic books, strips, etc",Comic or graphic novel ; Novel,English,'2'--Spine ; 'Vertigo'--Spine
"Between pen and pixel : comics, materiality, and the book of the future",,18852009,Monograph,Language material ; Still image ; Text,Volume,GBB880325,9780814213643 ; 9780814254707,"Kashtan, Aaron",,person,author,"Kashtan, Aaron, author [person]",Studies in comics and cartoons,,United States of America,Columbus,Ohio State University Press,2018,,"xi, 210 pages, black and white illustrations, 23 cm",741.59,YD.2020.a.372,"Cartoonists--Comic books, strips, etc ; Digital media ; Webcomics ; Material culture ; Cartooning--Technique ; Comic books, strips, etc--History and criticism",Comic or graphic novel,English,
Between two worlds,Between 2 worlds,18674104,Monograph,Language material ; Still image ; Text,Volume,GBB810359,9781524105785,"Higgins, Kyle",1985-,person,author,"Fornés, Jorge, artist [person] ; Higgins, Kyle, 1985-, author [person] ; O'Halloran, Chris, colorist [person] ; Esposito, Taylor [person]",Magnus ; The sovereigns,,United States of America,"Mount Laurel, New Jersey",Dynamite,2018,,"1 volume (unpaged), illustrations (black and white and colour), 27 cm",741.5973,YKL.2019.b.4552,,Comic or graphic novel ; Science fiction,English,"'Contains materials originally published in magazine form as Magnus, volume 1: Between two worlds #1-5'--Colophon"
Beware his might,Lobo. Volume 2. Beware his might,17765184,Monograph,Language material ; Still image ; Text,Volume,GBB633513,9781401261504,"Bunn, Cullen",,person,author,"Atiyeh, Michael, illustrator [person] ; Ortego, Guillermo, illustrator [person] ; Barbiere, Frank J., author [person] ; Manco, Leonardo, illustrator [person] ; Blond, illustrator [person] ; Lanham, Travis, illustrator [person] ; Richards, Cliff, illustrator [person] ; Bunn, Cullen, author [person] ; Kudranski, Szymon, illustrator [person] ; Rocha, Robson, illustrator [person]",,,United States of America,"Burbank, California",DC Comics,2016,,"1 volume (unpaged), illustrations, 26 cm",741.5973,YKL.2017.b.3376,"Bounty hunters--Comic books, strips, etc",Comic or graphic novel ; Novel,English,"'Originally published in single magazine form in LOBO 7-9, LOBO ANNUAL 1 and online as DC SNEAK PEEK: LOBO 1.'"
Beware our power!,,15710654,Monograph,Language material ; Text,Volume,GBB0E5502,9781434230867,"Sonneborn, Scott",,person,,"Sonneborn, Scott [person] ; Schoening, Dan [person]",Green Lantern,,United States of America,"Mankato, Minnesota ; Perth",Roundabout ; Stone Arch,2011,,"1 volume, chiefly colour illustrations, 19 cm",741.5,,"Green Lantern (Fictitious character)--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel,English,
