ISBN,Title,Other Titles,Author,All Names,Country of Publication,Place of Publication,Publisher,Publication Year
9781606993484,1939-1940,Prince Valiant. Vol. 2. 1939-1940,"Foster, Harold R. (Harold Rudolf)","Foster, Harold R. (Harold Rudolf), 1892-1982 [person]",England ; United States of America,"London ; Seattle, Washington",Fantagraphics ; Turnaround,2010
9781606994078,1941-1942,Prince Valiant. Vol. 3. 1941-1942,"Foster, Harold","Foster, Harold, 1892- [person]",England ; United States of America,"London ; Seattle, Washington",Fantagraphics ; Turnaround,2011
9781595821911,1946,,"Dysart, Josh","Azaceta, Paul [person] ; Mignola, Michael [person] ; Dysart, Josh [person]",England ; United States of America,"London ; Milwaukie, Oregon",Dark Horse ; Diamond,2008
9781613451502,1956-1957,The Phantom : the complete newspaper dailies. Volume 14. 1956-1957,"Falk, Lee","Herman, Daniel, 1957-, editor [person] ; McCoy, Wilson, 1902-1961, artist [person] ; Falk, Lee, 1911-1999, author [person]",United States of America,New Castle,Hermes,2018
9781613451748,1957-1961,The Phantom : the complete Sundays. Volume 6. 1956-1960,"Falk, Lee","Herman, Daniel, 1957-, editor [person] ; McCoy, Wilson, 1902-1961, artist [person] ; Falk, Lee, 1911-1999, author [person]",United States of America,New Castle,Hermes Press,2018
9781613451878,1960-1963,The Phantom : the complete Sundays. Volume 7. 1960-1963,"Falk, Lee","Herman, Daniel, 1957-, editor [person] ; Barry, Sy, 1928-, artist [person] ; McCoy, Wilson, 1902-1961, artist [person] ; Falk, Lee, 1911-1999, author [person]",United States of America,New Castle,Hermes Press,2020
9781613452226,1963-1966,The Phantom : the complete Sundays. Volume 8. 1963-1966,"Falk, Lee","Barry, Sy, 1928-, artist [person] ; Falk, Lee, 1911-1999, author [person]",United States of America,New Castle,Hermes,2020
9781684055890,1965-1966,Steve Canyon. Volume 10. 1965-1966,"Caniff, Milton Arthur","Caniff, Milton Arthur, 1907-1988, artist ; author [person]",United States of America,San Diego,,2020
9781683963783,1979-1980,Prince Valiant. Volume 22. 1979-1980,"Foster, Harold R. (Harold Rudolf)","Foster, Harold R. (Harold Rudolf), 1892-1982, author [person] ; Murphy, John Cullen, artist [person]",United States of America,Seattle,Fantagraphics,2020
9781603600644,1987-1988,The Don Rosa library,"Rosa, Don","Rosa, Don [person]",England ; United States of America,"London ; Timonium, Maryland",Diamond ; Gemstone,2008
9781988903545,1st legion of utopia,First legion of utopia,"Davidge, James","Davidge, James, author [person] ; Johnson, Nick (Nicholas Alexander), artist [person] ; Prodor, Bob, artist [person]",Canada,Canmore,Renegade Arts Entertainment,2019
9780908820054,2 giant lizards take over the world,Two giant lizards take over the world,"Chan-Reeves, Marlowe","Chan-Reeves, Marlowe, artist ; author [person]",England,London,Entropy Press,2012
9781616557218,2 sisters,Two sisters,"Kindt, Matt","Kindt, Matt, author [person]",United States of America,Milwaukie,Dark Horse Originals,2015
9781849183239,20 secondes. English,20 seconds ; Twenty seconds,"Hamme, Jean van","Francq, Philippe, artist [person] ; Hamme, Jean van, 1939-, author [person] ; Saincantin, Jerome, translator [person]",England,"Canterbury, Kent",Cinebook,2014
9781849183239,20 seconds,20 secondes. English ; Twenty seconds,"Hamme, Jean van","Francq, Philippe, artist [person] ; Hamme, Jean van, 1939-, author [person] ; Saincantin, Jerome, translator [person]",England,"Canterbury, Kent",Cinebook,2014
9781496500021,"20,000 leagues under the sea : a graphic novel",Twenty thousand leagues under the sea ; Vingt mille lieues sous les mers,"Bower, Carl","Bower, Carl, author [person] ; Verne, Jules, 1828-1905 [person]",United States of America,Mankato,Stone Arch,2017
9788190696364,"20,000 leagues under the sea",20000 leagues under the sea ; Twenty thousand leagues under the sea,"Rafter, Dan","Ahluwalia, Bhupendra [person] ; Verne, Jules, 1828-1905 [person] ; Rafter, Dan [person]",England ; India,Delhi ; London,Campfire ; Frances Lincoln,2010
9781406213553,"20,000 leagues under the sea","Jules Verne's 20,000 leagues under the sea ; Twenty thousand leagues under the sea","Bowen, Carl","Fuentes, Benny [person] ; Ocampo Ruiz, José Alfonso [person] ; Bowen, Carl [person] ; Verne, Jules, 1828-1905 [person] ; Stedem, Elizabeth [person]",England,Oxford,Raintree,2010
9781406212532,"20,000 leagues under the sea","Jules Verne's 20,000 leagues under the sea ; Vingt mille lieues sous les mers","Bowen, Carl","Ocampo Ruiz, José Alfonso [person] ; Bowen, Carl [person] ; Fuentes, Benny [person] ; Verne, Jules, 1828-1905 [person]",England,Oxford,Raintree,2009
9781434204974,"20,000 leagues under the sea",Twenty thousand leagues under the sea,"Bower, Carl","Bower, Carl [person] ; Verne, Jules, 1828-1905 [person]",United States of America,"Hove ; Mankato, Minnesota",Roundhouse ; Stone Arch,2008
9781781084069 ; 9781781084076,"2000 AD (London, England : 1977)",Blood of the Iceni,"Rennie, Gordon","Rennie, Gordon, author [person] ; Gallagher, Leigh, artist [person] ; Goddard, Patrick, artist [person]",England,Oxford,Rebellion,2016
9781781083185 ; 9781781083192,"2000 AD (London, England : 1977)",Dark justice ; Judge Dredd : dark justice,"Wagner, John","Bolland, Brian [person] ; Grant, Alan, 1949- [person] ; Staples, Greg, artist [person] ; Ezquerra, Carlos [person] ; Wagner, John, 1949-, author [person]",England,Oxford,Rebellion,2015
9781853759109,"2000 AD (London, England : 1977)",The best of Judge Dredd,,"Hall, Roland, editor [person]",England,London,Prion,2013
,2000 AD annual,2000 AD ; Judge Anderson: Psi files ; Judge Dredd annual ; Judge Dredd mega-special ; Judge Dredd megazine ; Judge Dredd yearbook ; Psi files,"Grant, Alan","Ranson, Arthur [person] ; Grant, Alan, 1949- [person] ; Wagner, John, 1949- [person]",England,Oxford,Rebellion,2009
,2000 AD,2000 AD annual ; Judge Anderson: Psi files ; Judge Dredd annual ; Judge Dredd mega-special ; Judge Dredd megazine ; Judge Dredd yearbook ; Psi files,"Grant, Alan","Ranson, Arthur [person] ; Grant, Alan, 1949- [person] ; Wagner, John, 1949- [person]",England,Oxford,Rebellion,2009
9781907519925,2000 AD,"A.B.C. Warriors. The black hole ; ABC Warriors. The black hole ; ABC, Atomic, Bacterial, Chemical Warriors. Black hole ; Black hole","Mills, Pat","S. M. S. [person] ; Dillon, Steve [person] ; Mills, Pat [person] ; Bisley, Simon [person]",England,Oxford,Rebellion,2011
9781905437924,2000 AD,Beast of Rudinshtein ; Nikolai Dante. The beast of Rudinshtein,"Morrison, Robbie","Fraser, Simon, 1969- [person] ; Burns, John, 1938- [person] ; Morrison, Robbie [person]",England,Oxford,Rebellion,2009
9781840236347,2000 AD,Block mania ; The apocalypse war : featuring Block mania,"Wagner, John","Ezquerra, Carlos [person] ; Grant, Alan, 1949- [person] ; Wagner, John, 1949- [person]",England,London,Titan,2003
9781781085509,2000 AD,Brink. Book one,"Abnett, Dan","Culbard, Ian, artist [person] ; Abnett, Dan, author [person]",England,Oxford,Rebellion,2017
9781906735098,2000 AD,Button Man. Killer killer ; Killer killer,"Wagner, John","Ranson, Arthur [person] ; Wagner, John, 1949- [person]",England,Oxford,Rebellion,2009
9781905437702,2000 AD,Button Man. The confession of Harry Exton ; Confession of Harry Exton,"Wagner, John","Ranson, Arthur [person] ; Wagner, John, 1949- [person]",England,Oxford,Rebellion,2008
9781905437061,2000 AD,"Caballistics, Inc. Creepshow ; Creepshow","Rennie, Gordon","Rennie, Gordon [person] ; Reardon, Dom [person]",England,Oxford,Rebellion,2007
9781904265740,2000 AD,"Caballistics, Inc. Going underground ; Going underground","Rennie, Gordon","Rennie, Gordon [person] ; Reardon, Dom [person]",England,Oxford,Rebellion,2006
9781907992988,2000 AD,Call of the wild,"Abnett, Dan","Elson, Richard, 1962- [person] ; Abnett, Dan [person]",England,Oxford,Rebellion,2012
9781907519253,2000 AD,"Can I eat you, please? ; Zombo ; Zombo. Can I eat you, please?","Ewing, Al","Flint, Henry [person] ; Ewing, Al [person]",England,Oxford,Rebellion,2010
,2000 AD,Civil warlord,"Lee, Tony","Carter, Lee, artist [person] ; Lee, Tony, 1970-, author [person] ; Parkhouse, Annie [person]",England,Oxford,Rebellion,2017
,2000 AD,Complete Carlos Ezquerra ; Judge Dredd. The complete Carlos Ezquerra,"Ezquerra, Carlos","Grant, Alan, 1949-, author [person] ; Ezquerra, Carlos, artist [person] ; Wagner, John, 1949-, author [person]",United States of America,"San Diego, California",,2013
9781906735883,2000 AD,Complete D.R. and Quinch ; D.R. & Quinch's incredibly excruciating agony pages ; The complete D.R. & Quinch,"Moore, Alan","Davis, Alan, 1956- [person] ; Delano, Jamie [person] ; Moore, Alan, 1953- [person]",England,Oxford,Rebellion,2010
